drug,molecule_chembl_id,mechanism_of_action,action_type,direct_interaction,disease_efficacy,molecular_mechanism,selectivity_comment,target_chembl_id,record_id,mechanism_refs
SN-38,CHEMBL837,DNA topoisomerase I inhibitor,INHIBITOR,1,1,1,,CHEMBL1781,3132499,"[{""ref_id"": ""setid=80f3b79c-a399-45b3-b755-8535457719af"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=80f3b79c-a399-45b3-b755-8535457719af""}, {""ref_id"": ""https://clincancerres.aacrjournals.org/content/clincanres/6/3/813.full.pdf"", ""ref_type"": ""Other"", ""ref_url"": ""https://clincancerres.aacrjournals.org/content/clincanres/6/3/813.full.pdf""}]"
TALAZOPARIB,CHEMBL3137320,Poly [ADP-ribose] polymerase-1 inhibitor,INHIBITOR,1,1,1,Potent PARP1/2 inhibitor (PARP1 IC50 = 0.57 nmol/L). PARP1 Ki=1.2 nmol/L. PARP2 Ki= 0.85 nmol/L.,CHEMBL3105,1976750,"[{""ref_id"": ""23881923"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/23881923""}]"
TALAZOPARIB,CHEMBL3137320,Poly [ADP-ribose] polymerase 2 inhibitor,INHIBITOR,1,1,1,Potent PARP1/2 inhibitor (PARP1 IC50 = 0.57 nmol/L). PARP1 Ki=1.2 nmol/L. PARP2 Ki= 0.85 nmol/L.,CHEMBL5366,1976750,"[{""ref_id"": ""23881923"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/23881923""}]"
TANESPIMYCIN,CHEMBL109480,Heat shock protein HSP90 inhibitor,INHIBITOR,1,1,1,,CHEMBL2095165,1706027,"[{""ref_id"": ""12881371"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/12881371""}]"
TEMOZOLOMIDE,CHEMBL810,DNA inhibitor,INHIBITOR,1,1,1,,CHEMBL2311221,1343899,"[{""ref_id"": ""setid=046a9011-3911-4d3f-a15f-fbb56d5aad56#section-12"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=046a9011-3911-4d3f-a15f-fbb56d5aad56#section-12""}]"
TRAMETINIB,CHEMBL2103875,Dual specificity mitogen-activated protein kinase kinase; MEK1/2 inhibitor,INHIBITOR,1,1,1,Indicated for cancers with BRAF V600E or V600K mutations.,CHEMBL2111289,1699884,"[{""ref_id"": ""label/2018/204114s007lbl.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/204114s007lbl.pdf""}, {""ref_id"": ""nda/2013/204114Orig1s000ClinPharmR.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""https://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/204114Orig1s000ClinPharmR.pdf""}, {""ref_id"": ""https://www.ema.europa.eu/en/documents/product-information/mekinist-epar-product-information_en.pdf"", ""ref_type"": ""Other"", ""ref_url"": ""https://www.ema.europa.eu/en/documents/product-information/mekinist-epar-product-information_en.pdf""}]"
VELIPARIB,CHEMBL506871,"PARP 1, 2 and 3 inhibitor",INHIBITOR,1,1,1,,CHEMBL3390820,1702550,"[{""ref_id"": ""17473206"", ""ref_type"": ""PubMed"", ""ref_url"": ""http://europepmc.org/abstract/MED/17473206""}]"
VISMODEGIB,CHEMBL473417,Smoothened homolog inhibitor,INHIBITOR,1,1,1,,CHEMBL5971,1583660,"[{""ref_id"": ""label/2012/203388lbl.pdf"", ""ref_type"": ""FDA"", ""ref_url"": ""http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/203388lbl.pdf""}]"
VORINOSTAT,CHEMBL98,Histone deacetylase 1 inhibitor,INHIBITOR,1,1,1,,CHEMBL325,1344960,"[{""ref_id"": ""setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13""}]"
VORINOSTAT,CHEMBL98,Histone deacetylase 3 inhibitor,INHIBITOR,1,1,1,,CHEMBL1829,1344960,"[{""ref_id"": ""setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13""}]"
VORINOSTAT,CHEMBL98,Histone deacetylase 6 inhibitor,INHIBITOR,1,1,1,,CHEMBL1865,1344960,"[{""ref_id"": ""setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13""}]"
VORINOSTAT,CHEMBL98,Histone deacetylase 2 inhibitor,INHIBITOR,1,1,1,,CHEMBL1937,1344960,"[{""ref_id"": ""setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13"", ""ref_type"": ""DailyMed"", ""ref_url"": ""http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13""}]"
