drug,activity_chembl_id,molecule_chembl_id,assay_chembl_id,target_chembl_id,target_pref_name,target_organism,bao_label,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,activity_comment,src_id,document_chembl_id
OLAPARIB,,CHEMBL521686,CHEMBL5324709,CHEMBL613979,HUVEC,Homo sapiens,cell-based format,IC50,=,4600.0,nM,5.34,,,1,CHEMBL5321287
OLAPARIB,,CHEMBL521686,CHEMBL5329523,CHEMBL3105,Poly [ADP-ribose] polymerase 1,Homo sapiens,cell-based format,IC50,=,0.411,nM,9.39,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329527,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,14700.0,nM,4.83,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329529,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,401.0,nM,6.4,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329537,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,25700.0,nM,4.59,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329538,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,26800.0,nM,4.57,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329539,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,1910.0,nM,5.72,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329540,CHEMBL614285,DLD-1,Homo sapiens,cell-based format,IC50,=,2290.0,nM,5.64,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329541,CHEMBL394,HCT-116,Homo sapiens,cell-based format,IC50,=,1429.0,nM,5.84,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329542,CHEMBL394,HCT-116,Homo sapiens,cell-based format,IC50,=,1810.0,nM,5.74,,,1,CHEMBL5329157
OLAPARIB,,CHEMBL521686,CHEMBL5329543,CHEMBL394,HCT-116,Homo sapiens,cell-based format,IC50,=,2650.0,nM,5.58,,,1,CHEMBL5329157
