drug,query_used,molecule_chembl_id,pref_name,molecule_type,max_phase,oral,parenteral,topical,black_box_warning,availability_type,first_approval,indication_class,helm_notation,canonical_smiles,standard_inchi,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,heavy_atoms,num_ro5_violations,qed_weighted
LENALIDOMIDE,LENALIDOMIDE,CHEMBL848,LENALIDOMIDE,Small molecule,4.0,True,False,False,1,1.0,2005.0,,,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H13N3O3/c14-9-3-1-2-7-8(9)6-16(13(7)19)10-4-5-11(17)15-12(10)18/h1-3,10H,4-6,14H2,(H,15,17,18)",GOTYRUGSSMKFNF-UHFFFAOYSA-N,259.26,0.03,92.50,4,2,1,1,19,0,0.55
LESTAURTINIB,LESTAURTINIB,CHEMBL603469,LESTAURTINIB,Small molecule,3.0,False,False,False,0,,,,,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,"InChI=1S/C26H21N3O4/c1-25-26(32,12-30)10-18(33-25)28-16-8-4-2-6-13(16)20-21-15(11-27-24(21)31)19-14-7-3-5-9-17(14)29(25)23(19)22(20)28/h2-9,18,30,32H,10-12H2,1H3,(H,27,31)/t18-,25+,26+/m1/s1",UIARLYUEJFELEN-LROUJFHJSA-N,439.47,3.47,88.65,6,3,1,5,33,0,0.37
METHOTREXATE,METHOTREXATE,CHEMBL34259,METHOTREXATE,Small molecule,4.0,True,True,False,1,1.0,1953.0,,,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,"InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/t13-/m0/s1",FBOZXECLQNJBKD-ZDUSSCGKSA-N,454.45,0.27,210.54,10,5,9,3,33,0,0.29
MIRIN,MIRIN,CHEMBL570841,MIRIN,Small molecule,,False,False,False,0,-1.0,,,,N=C1NC(=O)/C(=C/c2ccc(O)cc2)S1,"InChI=1S/C10H8N2O2S/c11-10-12-9(14)8(15-10)5-6-1-3-7(13)4-2-6/h1-5,13H,(H2,11,12,14)/b8-5-",YBHQCJILTOVLHD-YVMONPNESA-N,220.25,1.53,73.18,4,3,1,1,15,0,0.63
MK-2206,MK-2206,CHEMBL1079175,MK-2206,Small molecule,2.0,False,False,False,0,,,,,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,"InChI=1S/C25H21N5O/c26-25(12-4-13-25)18-9-7-17(8-10-18)22-19(16-5-2-1-3-6-16)15-20-21(27-22)11-14-30-23(20)28-29-24(30)31/h1-3,5-11,14-15H,4,12-13,26H2,(H,29,31)",ULDXWLCXEDXJGE-UHFFFAOYSA-N,407.48,4.24,89.07,5,2,3,5,31,0,0.47
MOTESANIB,MOTESANIB,CHEMBL572881,MOTESANIB,Small molecule,3.0,False,False,False,0,,,,,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,"InChI=1S/C22H23N5O/c1-22(2)14-26-19-12-16(5-6-18(19)22)27-21(28)17-4-3-9-24-20(17)25-13-15-7-10-23-11-8-15/h3-12,26H,13-14H2,1-2H3,(H,24,25)(H,27,28)",RAHBGWKEPAQNFF-UHFFFAOYSA-N,373.46,4.04,78.94,5,3,5,3,28,0,0.63
NAVITOCLAX,NAVITOCLAX,CHEMBL443684,NAVITOCLAX,Small molecule,3.0,False,False,False,0,,,,,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,"InChI=1S/C47H55ClF3N5O6S3/c1-46(2)20-18-42(34-8-12-37(48)13-9-34)36(31-46)32-55-22-24-56(25-23-55)39-14-10-35(11-15-39)45(57)53-65(60,61)41-16-17-43(44(30-41)64(58,59)47(49,50)51)52-38(19-21-54-26-28-62-29-27-54)33-63-40-6-4-3-5-7-40/h3-17,30,38,52H,18-29,31-33H2,1-2H3,(H,53,57)/t38-/m1/s1",JLYAXFNOILIKPP-KXQOOQHDSA-N,974.63,8.83,128.36,11,2,16,4,65,3,0.10
NU7441,NU7441,CHEMBL5287725,,,,False,False,False,0,-1.0,,,,O=c1cc(N2CCOCC2)oc2c(-c3cccc4sc5ccccc5c34)cccc12,"InChI=1S/C25H19NO3S/c27-20-15-23(26-11-13-28-14-12-26)29-25-17(7-3-8-18(20)25)16-6-4-10-22-24(16)19-5-1-2-9-21(19)30-22/h1-10,15H,11-14H2",LSUVJEUFZJPDTK-UHFFFAOYSA-N,413.50,5.66,42.68,5,0,2,5,30,1,0.37
NUTLIN-3A (-),Nutlin-3a,CHEMBL191334,NUTLIN-3,Small molecule,,False,False,False,0,-1.0,,,,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,"InChI=1S/C30H30Cl2N4O4/c1-18(2)40-25-16-23(39-3)12-13-24(25)29-34-27(19-4-8-21(31)9-5-19)28(20-6-10-22(32)11-7-20)36(29)30(38)35-15-14-33-26(37)17-35/h4-13,16,18,27-28H,14-15,17H2,1-3H3,(H,33,37)/t27-,28+/m0/s1",BDUHCSBCVGXTJM-WUFINQPMSA-N,581.50,5.89,83.47,5,1,6,3,40,2,0.39
OLAPARIB,OLAPARIB,CHEMBL521686,OLAPARIB,Small molecule,4.0,True,False,False,0,1.0,2014.0,,,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,"InChI=1S/C24H23FN4O3/c25-20-8-5-15(14-21-17-3-1-2-4-18(17)22(30)27-26-21)13-19(20)24(32)29-11-9-28(10-12-29)23(31)16-6-7-16/h1-5,8,13,16H,6-7,9-12,14H2,(H,27,30)",FDLYAMZZIXQODN-UHFFFAOYSA-N,434.47,2.35,86.37,4,1,4,3,32,0,0.68
