drug,n_oof,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean,RMSE_ens_fold_mean,RMSE_ens_fold_std,R2_ens_fold_mean,R2_ens_fold_std,Spearman_ens_fold_mean,Spearman_ens_fold_std,Pearson_ens_fold_mean,Pearson_ens_fold_std,RMSE_mean_fold_mean,RMSE_mean_fold_std,R2_mean_fold_mean,R2_mean_fold_std
SERDEMETAN,203,0.8935672668409544,0.1671179735374294,0.4058043155807902,0.41266250315423836,0.8840841072068738,0.1847024175648171,0.890409327988199,0.08547240522638863,0.16068029072163947,0.08385459844952506,0.4015679442508711,0.08153298485273539,0.43347550737815654,0.09173126359661064,0.8802627711693584,0.09221001394864468,0.183475327197253,0.043062653998401354
SGC0946,203,0.4803013981191548,0.2946072915638689,0.5725388824017147,0.5427812085553734,0.4883507499379267,0.2707658769642588,0.4785334183123876,0.04360667197245724,0.2839834214266729,0.093749107621646,0.5727365317609221,0.05834099084059497,0.5518639193691086,0.0725342499410385,0.4861038124712366,0.04860094459975589,0.26638931087686507,0.04375705086961543
SN-38,203,1.6141953987305737,0.2512132950187339,0.5163706315575053,0.5038232071381163,1.6127629494618074,0.2525416633843185,1.598269781647956,0.2649964997664019,0.26268322454800597,0.13723433754606104,0.5521013133208256,0.13678532722534814,0.5364914618154837,0.1234274917788846,1.5988379486629767,0.24999038595712192,0.2615867804378146,0.12864776757657786
TALAZOPARIB,203,1.7277054564640284,0.09890503259458261,0.2815126050420168,0.31778157425753817,1.7491110522038116,0.07643828300394384,1.7167234676410412,0.22462141930181576,0.10776395218917904,0.1411741771834822,0.32370142053068884,0.1809474517879615,0.3525017782703196,0.18058044873335605,1.7426774026534417,0.1757681419383094,0.0810708582483316,0.08679659197320136
TAMOXIFEN,203,0.7393746116925599,0.3256343533407735,0.5585394963721235,0.5712176050893436,0.7342606670857216,0.3349307019283313,0.736776178416821,0.07401510908867164,0.3224391722808531,0.0780312442688791,0.5800884481372288,0.10478370043157327,0.5843906955095787,0.08467076716970527,0.7311898861974939,0.07754891913740707,0.33431154863354645,0.06807396360868048
TANESPIMYCIN,203,1.014447122361699,0.08122213159757996,0.3292832325828932,0.3155394758422734,0.9982487677698041,0.11032935356307438,1.0035090732921836,0.1617240121897838,0.09470096215944783,0.11580300941759306,0.32669793621013143,0.13314069878109777,0.3548650698851337,0.11529114346039304,0.9902377662368815,0.13908180845576382,0.11778525596878778,0.058392282999582455
TEMOZOLOMIDE,203,0.7652649987603397,0.44343954861219126,0.6999606944177468,0.6660696981669045,0.7714456685311694,0.4344131130085531,0.7605028015780756,0.09707645080922925,0.4445987468684825,0.10852539138141117,0.7133476279817745,0.07261934105680452,0.6852267366478503,0.0782730117004173,0.7681559003572055,0.08190763808610681,0.43492692505398195,0.08322641717707319
TRAMETINIB,203,1.600352807254549,0.31918319852624155,0.6543332252668908,0.5719279375687036,1.5979803573983133,0.3212002618670661,1.5909725523581077,0.20123287578413523,0.30290891194577796,0.15981922184983044,0.6718842133476282,0.06161444736139834,0.6169222910782183,0.10031450671754125,1.585648256988745,0.2136958617616227,0.32090270965806067,0.054981525280752216
VELIPARIB,203,0.5745373083481705,0.4085693151012557,0.6281519777593523,0.6396734744837171,0.5785171484196763,0.40034721383503324,0.569348903821709,0.08839804243274166,0.4075871472055921,0.17400261469005127,0.654084695792013,0.11909188624479874,0.6563445366924117,0.11894325779584773,0.5750145756319738,0.0746876049961545,0.39891029205688605,0.1483551916922728
VISMODEGIB,203,0.6165394531502306,0.4883556831548378,0.707324035793901,0.6989826974559994,0.6523285485771538,0.4272314285666251,0.6060143614555364,0.1211020712134396,0.4971228625735692,0.10939466866045662,0.7229214687751273,0.06941564190101976,0.7136433872152368,0.08745138646195039,0.6395756220353805,0.13719485161544823,0.44379902362033236,0.11864733088404229
VORINOSTAT,203,0.6622898397663595,0.5778534473561523,0.7639140326666687,0.760217801708603,0.6635228106173703,0.5762801818170117,0.6540242246915541,0.11257636068598036,0.5831103869288586,0.11413114581377887,0.7763066202090594,0.03964417107637301,0.7663826347813767,0.07813791213221473,0.6553998585433086,0.11234392083038916,0.5815459222939363,0.11501779501183172
WEE1 INHIBITOR,203,0.9624689827387659,0.2924541478350444,0.562470054597462,0.5426187412223713,0.9517779250953802,0.3080856145339629,0.9581618991222193,0.0978177033970696,0.2854947044268015,0.10465140235417845,0.5827070490485126,0.04541328712695545,0.5708612851974669,0.07098049535621154,0.94863891618442,0.08414855328182508,0.30020648486262846,0.08346630653808823
YK-4-279,203,1.2270516107435743,0.21376071229981897,0.4844369977420808,0.4647887616596643,1.2124014518752753,0.23242295710902783,1.215462532896418,0.18743604297503894,0.22487867940009618,0.16068700403108066,0.49785044224068625,0.13719305369504636,0.48920742808156426,0.15064496730269403,1.2033572430997914,0.16470632690980339,0.24173434098079644,0.12779238140836505
ZM447439,203,1.1767214017296892,0.3319433173326287,0.5674219841572683,0.5773053611435617,1.1913893790505932,0.3151846973595852,1.1759789472648188,0.05827749049416154,0.32875067657508683,0.05770624312712788,0.5861592066470116,0.07233947505100938,0.590686630748693,0.047493915781567655,1.1911197138876601,0.03482872713985815,0.310677623495358,0.05853872415290636
