drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
PALBOCICLIB,2,stacking,ridge,1.0,-0.308537129315857,162,41,mrna,1.0999182602000717
PALBOCICLIB,3,stacking,ridge,1.0,-0.01581875264783994,162,41,mrna,1.0191340251262608
PALBOCICLIB,4,stacking,ridge,1.0,0.038200584034015606,163,40,mrna,1.0550034980503296
PALBOCICLIB,5,stacking,ridge,1.0,0.0071319967579408505,163,40,mrna,1.0036938480080781
PD0325901,1,stacking,ridge,1.0,0.0506947954412883,162,41,mrna,0.6121463214511025
PD0325901,2,stacking,ridge,1.0,-0.14894328950188707,162,41,mrna,0.7191230189022974
PD0325901,3,stacking,ridge,1.0,0.042047084459102435,162,41,mrna,0.49835096380817473
PD0325901,4,stacking,ridge,1.0,0.032040848205808437,163,40,mrna,0.5000755135037603
PD0325901,5,stacking,ridge,1.0,-0.10334125884826384,163,40,mrna,0.7129719519374393
PD173074,1,stacking,ridge,1.0,-0.43039631898216246,162,41,mrna,0.7587604308686139
PD173074,2,stacking,ridge,1.0,-0.463717884531309,162,41,mrna,0.7420113531544351
PD173074,3,stacking,ridge,1.0,-0.25726660030980364,162,41,mrna,0.7392582709921137
PD173074,4,stacking,ridge,1.0,-0.06491393169257842,163,40,mrna,0.7378149672549584
PD173074,5,stacking,ridge,1.0,-0.20897672650267873,163,40,mrna,0.5880408036389847
PEVONEDISTAT,1,stacking,ridge,1.0,0.028733121682890106,162,41,mrna,0.9051293212936586
PEVONEDISTAT,2,stacking,ridge,1.0,-0.023699425708619715,162,41,mrna,0.9209886835042169
PEVONEDISTAT,3,stacking,ridge,1.0,-0.013923051804528103,162,41,mrna,0.761665755184188
PEVONEDISTAT,4,stacking,ridge,1.0,0.004877413796661928,163,40,mrna,0.7896769943007711
PEVONEDISTAT,5,stacking,ridge,1.0,0.0682191955054321,163,40,mrna,0.9372953133602432
PFI-1,1,stacking,ridge,1.0,-0.12773128644047604,162,41,mrna,1.0239599344340031
PFI-1,2,stacking,ridge,1.0,0.07433737192844259,162,41,mrna,0.8185391070208698
PFI-1,3,stacking,ridge,1.0,-0.16021975669231825,162,41,mrna,1.1096594340813624
PFI-1,4,stacking,ridge,1.0,0.353691942384458,163,40,mrna,0.9574876018858879
PFI-1,5,stacking,ridge,1.0,0.35181434090653374,163,40,mrna,0.8482881193418985
PICTILISIB,1,stacking,ridge,1.0,0.12981960039009888,162,41,mrna,0.6099297075882087
PICTILISIB,2,stacking,ridge,1.0,0.2702172776631082,162,41,mrna,0.7921475117461513
PICTILISIB,3,stacking,ridge,1.0,0.02923559676304688,162,41,mrna,0.66815466630914
PICTILISIB,4,stacking,ridge,1.0,0.04068088467321174,163,40,mrna,0.5458298926378629
PICTILISIB,5,stacking,ridge,1.0,0.3020852250555157,163,40,mrna,0.6366394468148527
PLX-4720,1,stacking,ridge,1.0,-0.9423572097633444,162,41,mrna,0.7325834216205878
PLX-4720,2,stacking,ridge,1.0,-1.1092017412172548,162,41,mrna,0.7204947638950322
PLX-4720,3,stacking,ridge,1.0,-0.7653143514874734,162,41,mrna,0.6784244381651129
PLX-4720,4,stacking,ridge,1.0,-0.3346260648066455,163,40,mrna,0.7646398261662841
PLX-4720,5,stacking,ridge,1.0,-0.7484225702279357,163,40,mrna,0.6742233657537369
REFAMETINIB,1,stacking,ridge,1.0,0.06450854184999422,162,41,mrna,0.4412378074274729
REFAMETINIB,2,stacking,ridge,1.0,-0.20653917362488228,162,41,mrna,0.5007458155950645
REFAMETINIB,3,stacking,ridge,1.0,-0.19118572353769947,162,41,mrna,0.5753622354152893
REFAMETINIB,4,stacking,ridge,1.0,0.00772081850340145,163,40,mrna,0.48091739438515807
REFAMETINIB,5,stacking,ridge,1.0,-0.234884482320874,163,40,mrna,0.6785962289124219
RO-3306,1,stacking,ridge,1.0,0.10932123808169925,162,41,mrna,0.8446623805964698
RO-3306,2,stacking,ridge,1.0,-0.6771239682702643,162,41,mrna,0.8384434922317726
RO-3306,3,stacking,ridge,1.0,-0.07733905143391206,162,41,mrna,0.7337681535136704
