drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna,row_id
LESTAURTINIB,2,stacking,ridge,1.0,0.07175058126757405,162,41,1.0384744617297714,0.09984495342395497,0.15844129337683793,-0.24333631941359188,LESTAURTINIB|fold2
LESTAURTINIB,3,stacking,ridge,1.0,0.06375168185721791,162,41,0.9507961476583504,0.11319065633856529,0.15841209434051481,-0.07684759896772544,LESTAURTINIB|fold3
LESTAURTINIB,4,stacking,ridge,1.0,0.07793728525643262,163,40,0.9544429902530602,0.22699411455885715,0.19394664129327777,-0.3154136679562321,LESTAURTINIB|fold4
LESTAURTINIB,5,stacking,ridge,1.0,0.09835039685608082,163,40,0.7316377263222598,0.12086390934021092,0.4032587011676734,-0.25137348039694446,LESTAURTINIB|fold5
METHOTREXATE,1,stacking,ridge,1.0,0.10307950438701463,162,41,0.8345643352493917,0.015326438218988625,0.2613602957369397,-0.012419197620383642,METHOTREXATE|fold1
METHOTREXATE,2,stacking,ridge,1.0,0.05440190187733296,162,41,0.7082137173149896,-0.08182576701764073,0.4529826588388242,-0.04065213176955877,METHOTREXATE|fold2
METHOTREXATE,3,stacking,ridge,1.0,0.0504408112490361,162,41,1.0152669155516878,-0.22170045719107181,0.05601131374109968,0.2937754155615791,METHOTREXATE|fold3
METHOTREXATE,4,stacking,ridge,1.0,0.05694657363445599,163,40,0.8492018068466095,0.046512810037812664,0.3052288823824181,-0.14806551799270912,METHOTREXATE|fold4
METHOTREXATE,5,stacking,ridge,1.0,0.05021401315459095,163,40,0.7055027636270617,0.005348757505095068,0.5468407684898804,-0.20101022835121668,METHOTREXATE|fold5
MIRIN,1,stacking,ridge,1.0,-0.025313303335245507,162,41,0.8059328297641728,0.2703571667802429,-0.5049611824756641,0.43047840710978635,MIRIN|fold1
MIRIN,2,stacking,ridge,1.0,-0.008475771372387086,162,41,0.6974357851597938,0.31545517544106355,-0.3543489766519393,0.33439730722445127,MIRIN|fold2
MIRIN,3,stacking,ridge,1.0,-0.6538504040156559,162,41,0.8592702978117147,0.3485276890223717,-0.4211986076043582,0.35489857546962916,MIRIN|fold3
MIRIN,4,stacking,ridge,1.0,-0.2692360991321143,163,40,0.7088297844783426,0.2814132871097153,-0.16001441270877045,0.23402998131446934,MIRIN|fold4
MIRIN,5,stacking,ridge,1.0,0.031680506881954784,163,40,0.9104679235967528,0.31501269125647857,-0.47108342479511367,0.2471292280859769,MIRIN|fold5
MK-2206,1,stacking,ridge,1.0,-0.4474725131833519,162,41,0.26920114551486474,0.42201849998088353,0.10341898474085352,0.462972351793674,MK-2206|fold1
MK-2206,2,stacking,ridge,1.0,-0.9278760502063861,162,41,0.3090434577017931,0.46244524614262483,0.09314548515412434,0.624497131760552,MK-2206|fold2
MK-2206,3,stacking,ridge,1.0,-0.9175588308283162,162,41,0.4542227350535995,0.5725161404022525,-0.15129084920686064,0.5870422839943178,MK-2206|fold3
MK-2206,4,stacking,ridge,1.0,-0.44661180993804184,163,40,0.4661021432534553,0.42637893900314555,-0.19177803493546056,0.5557413255952922,MK-2206|fold4
MK-2206,5,stacking,ridge,1.0,-0.7094798512925182,163,40,0.1980339822987031,0.4075797845472983,0.08914634117941288,0.6652051171060398,MK-2206|fold5
MOTESANIB,1,stacking,ridge,1.0,-1.12178905218981,162,41,0.5453816818497196,0.31532844330963583,0.29959369237676997,0.1304332429196191,MOTESANIB|fold1
MOTESANIB,2,stacking,ridge,1.0,-1.4298145207451909,162,41,0.48336937355192033,0.2601178282603501,0.2955539868767224,0.3317092458156093,MOTESANIB|fold2
MOTESANIB,3,stacking,ridge,1.0,-1.0359105171996488,162,41,0.4056783574833892,0.3262560102385948,0.1414779880199008,0.38952607006893736,MOTESANIB|fold3
MOTESANIB,4,stacking,ridge,1.0,-1.080082975165054,163,40,0.35779276153368295,0.267203782712446,0.2810852298520809,0.3645849780172077,MOTESANIB|fold4
