drug,blend,meta,alpha,intercept,n,omics,weight
GEFITINIB,stacking,ridge,1.0,0.4409096267886703,203,meth,0.45220773627952926
GEMCITABINE,stacking,ridge,1.0,-0.025347771787103124,203,meth,0.07491246320228848
GW441756,stacking,ridge,1.0,0.030750837288497035,203,meth,-0.2853546707190139
JQ1,stacking,ridge,1.0,-0.10043052084542248,203,meth,-0.042000138219804445
KU-55933,stacking,ridge,1.0,-0.22443614819208868,203,meth,0.33268783619726094
LENALIDOMIDE,stacking,ridge,1.0,-0.631476138758476,203,meth,0.1361559605171079
LESTAURTINIB,stacking,ridge,1.0,0.08289364652739206,203,meth,0.20924365184313173
METHOTREXATE,stacking,ridge,1.0,0.05064077270512357,203,meth,0.3304644750912261
MIRIN,stacking,ridge,1.0,-0.15238966007720034,203,meth,-0.39725662095274
MK-2206,stacking,ridge,1.0,-0.683345339908487,203,meth,-0.016995148929596228
MOTESANIB,stacking,ridge,1.0,-1.1179431777919437,203,meth,0.2040244068521257
NAVITOCLAX,stacking,ridge,1.0,-0.030381617459787513,203,meth,-0.005038787156602892
NU7441,stacking,ridge,1.0,-0.49322160443557284,203,meth,0.4712731071981218
NUTLIN-3A (-),stacking,ridge,1.0,0.2145349351483481,203,meth,0.20486267050503426
OLAPARIB,stacking,ridge,1.0,-0.39136908074983046,203,meth,0.45195967599932446
PALBOCICLIB,stacking,ridge,1.0,-0.08493490290872696,203,meth,-0.07742206928999927
PD0325901,stacking,ridge,1.0,-0.02207937154754791,203,meth,0.1587244941281429
PD173074,stacking,ridge,1.0,-0.2566921016204198,203,meth,0.0872612778559688
PEVONEDISTAT,stacking,ridge,1.0,0.014567907009171044,203,meth,-0.3214641925990091
PFI-1,stacking,ridge,1.0,0.11782524423707263,203,meth,0.024992480486344885
PICTILISIB,stacking,ridge,1.0,0.1551561010536916,203,meth,0.26766014937835303
PLX-4720,stacking,ridge,1.0,-0.7762579055025629,203,meth,-0.23243305641176726
REFAMETINIB,stacking,ridge,1.0,-0.09730846641138235,203,meth,0.15729797845999338
RO-3306,stacking,ridge,1.0,-0.132559462743699,203,meth,-0.013245369582288856
RUCAPARIB,stacking,ridge,1.0,-0.3344370468442741,203,meth,0.09016475279427598
SB216763,stacking,ridge,1.0,0.1781154873722599,203,meth,-0.02083202579090914
SB590885,stacking,ridge,1.0,-0.3156128823404427,203,meth,0.29806604081364185
SELUMETINIB,stacking,ridge,1.0,-0.34116343371626145,203,meth,0.2509521836467222
SERDEMETAN,stacking,ridge,1.0,-0.5212122634447489,203,meth,0.07114133500945012
SGC0946,stacking,ridge,1.0,-0.10713623158575913,203,meth,-0.009247138018453845
SN-38,stacking,ridge,1.0,-0.5959665588058609,203,meth,0.23244710884450476
TALAZOPARIB,stacking,ridge,1.0,1.206885314774891,203,meth,0.562598685427671
TAMOXIFEN,stacking,ridge,1.0,-0.12704257169428468,203,meth,0.12724937168347436
TANESPIMYCIN,stacking,ridge,1.0,0.045715456498324786,203,meth,0.10484459484651747
TEMOZOLOMIDE,stacking,ridge,1.0,-0.2702344808963444,203,meth,0.3096330042592851
TRAMETINIB,stacking,ridge,1.0,0.05785071394767788,203,meth,0.044056087812183134
VELIPARIB,stacking,ridge,1.0,0.11565736360663248,203,meth,0.243622862724952
VISMODEGIB,stacking,ridge,1.0,0.11231802631179644,203,meth,0.21408130305332515
VORINOSTAT,stacking,ridge,1.0,-0.06715549344458593,203,meth,0.11169600135998167
WEE1 INHIBITOR,stacking,ridge,1.0,-0.13283355968534383,203,meth,0.16928350941572007
YK-4-279,stacking,ridge,1.0,-0.048166956472927014,203,meth,0.039304759670909496
