drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
OLAPARIB,5,stacking,ridge,1.0,-0.473732650804787,163,40,mrna,0.14919929490407507
PALBOCICLIB,1,stacking,ridge,1.0,-0.2010669267464178,162,41,mrna,0.8824325870390818
PALBOCICLIB,2,stacking,ridge,1.0,-0.3318733432127168,162,41,mrna,0.8550555403107023
PALBOCICLIB,3,stacking,ridge,1.0,0.004446206826144827,162,41,mrna,0.7573276093032497
PALBOCICLIB,4,stacking,ridge,1.0,-0.05989832450121746,163,40,mrna,0.7088246575210843
PALBOCICLIB,5,stacking,ridge,1.0,7.995218542511395e-05,163,40,mrna,0.8471809973539005
PD0325901,1,stacking,ridge,1.0,0.028458373552084915,162,41,mrna,0.605739204192512
PD0325901,2,stacking,ridge,1.0,-0.15217458579415977,162,41,mrna,0.7610663108283762
PD0325901,3,stacking,ridge,1.0,0.04643219086217354,162,41,mrna,0.4882007996896372
PD0325901,4,stacking,ridge,1.0,0.006889791637621712,163,40,mrna,0.4961103812507096
PD0325901,5,stacking,ridge,1.0,-0.11709090701543057,163,40,mrna,0.6785965914063063
PD173074,1,stacking,ridge,1.0,-0.5616083450195108,162,41,mrna,0.4461327149839342
PD173074,2,stacking,ridge,1.0,-0.5175249906692851,162,41,mrna,0.5028355707329214
PD173074,3,stacking,ridge,1.0,-0.3977647784015219,162,41,mrna,0.34397459825478444
PD173074,4,stacking,ridge,1.0,-0.265322346332185,163,40,mrna,0.4296534230020111
PD173074,5,stacking,ridge,1.0,-0.35642193441754744,163,40,mrna,0.3757110903696202
PEVONEDISTAT,1,stacking,ridge,1.0,0.011070567318994556,162,41,mrna,0.7249726013604596
PEVONEDISTAT,2,stacking,ridge,1.0,-0.04568938069020362,162,41,mrna,0.723261657968138
PEVONEDISTAT,3,stacking,ridge,1.0,-0.030069620257160284,162,41,mrna,0.5667073563109345
PEVONEDISTAT,4,stacking,ridge,1.0,-0.004504783223779535,163,40,mrna,0.6794312123207993
PEVONEDISTAT,5,stacking,ridge,1.0,0.07288403993338577,163,40,mrna,0.7152163788430401
PFI-1,1,stacking,ridge,1.0,-0.20097756225879948,162,41,mrna,0.27362567146799294
PFI-1,2,stacking,ridge,1.0,-0.27489461181276287,162,41,mrna,0.21492897112452963
PFI-1,3,stacking,ridge,1.0,-0.4040128942279311,162,41,mrna,0.5425253620597262
PFI-1,4,stacking,ridge,1.0,-0.026802606920995675,163,40,mrna,0.5461410910878467
PFI-1,5,stacking,ridge,1.0,0.1528083052127549,163,40,mrna,0.3451980416121579
PICTILISIB,1,stacking,ridge,1.0,0.02434479328595185,162,41,mrna,0.48976047879952334
PICTILISIB,2,stacking,ridge,1.0,0.2706849779202475,162,41,mrna,0.6003549868477397
