source,native,name,p_value,significant,term_size,query_size,intersection_size,intersection_genes
GO:MF,GO:0008242,omega peptidase activity,1.0,False,1,313,1,
GO:MF,GO:0008047,enzyme activator activity,1.0,False,40,313,24,
GO:MF,GO:0005515,protein binding,1.0,False,539,313,293,"IDA,IPI"
GO:MF,GO:0005516,calmodulin binding,1.0,False,27,313,20,
GO:MF,GO:0005518,collagen binding,1.0,False,4,313,2,
GO:MF,GO:0005520,insulin-like growth factor binding,1.0,False,2,313,2,
GO:MF,GO:0005524,ATP binding,1.0,False,399,313,209,IEA
GO:MF,GO:0005525,GTP binding,1.0,False,11,313,6,
GO:MF,GO:0005539,glycosaminoglycan binding,1.0,False,6,313,3,
GO:MF,GO:0005543,phospholipid binding,1.0,False,13,313,6,
GO:MF,GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding",1.0,False,2,313,1,
GO:MF,GO:0005548,phospholipid transporter activity,1.0,False,1,313,1,
GO:MF,GO:0008013,beta-catenin binding,1.0,False,4,313,2,
GO:MF,GO:0008017,microtubule binding,1.0,False,9,313,3,
GO:MF,GO:0008028,monocarboxylic acid transmembrane transporter activity,1.0,False,3,313,3,
GO:MF,GO:0005154,epidermal growth factor receptor binding,1.0,False,3,313,2,
GO:MF,GO:0008046,axon guidance receptor activity,1.0,False,4,313,1,
GO:MF,GO:0005159,insulin-like growth factor receptor binding,1.0,False,1,313,1,
GO:MF,GO:0008081,phosphoric diester hydrolase activity,1.0,False,10,313,8,
GO:MF,GO:0008092,cytoskeletal protein binding,1.0,False,47,313,20,
GO:MF,GO:0008094,"ATP-dependent activity, acting on DNA",1.0,False,4,313,2,
GO:MF,GO:0008097,5S rRNA binding,1.0,False,1,313,1,
GO:MF,GO:0008134,transcription factor binding,1.0,False,55,313,25,
GO:MF,GO:0008140,cAMP response element binding protein binding,1.0,False,2,313,2,
GO:MF,GO:0008179,adenylate cyclase binding,1.0,False,1,313,1,
GO:MF,GO:0008188,neuropeptide receptor activity,1.0,False,5,313,4,
GO:MF,GO:0008198,ferrous iron binding,1.0,False,1,313,1,
GO:MF,GO:0008200,ion channel inhibitor activity,1.0,False,1,313,1,
GO:MF,GO:0008201,heparin binding,1.0,False,4,313,3,
GO:MF,GO:0008227,G protein-coupled amine receptor activity,1.0,False,21,313,19,
GO:MF,GO:0008233,peptidase activity,1.0,False,6,313,2,
GO:MF,GO:0008080,N-acetyltransferase activity,1.0,False,3,313,1,
GO:MF,GO:0008270,zinc ion binding,1.0,False,29,313,16,
GO:MF,GO:0019207,kinase regulator activity,1.0,False,41,313,22,
GO:MF,GO:0032405,MutLalpha complex binding,1.0,False,1,313,1,
GO:MF,GO:0015079,potassium ion transmembrane transporter activity,1.0,False,6,313,5,
GO:MF,GO:0008320,protein transmembrane transporter activity,1.0,False,1,313,1,
GO:MF,GO:0008324,monoatomic cation transmembrane transporter activity,1.0,False,18,313,12,
GO:MF,GO:0008349,MAP kinase kinase kinase kinase activity,1.0,False,6,313,5,
GO:MF,GO:0008353,RNA polymerase II CTD heptapeptide repeat kinase activity,1.0,False,8,313,5,
GO:MF,GO:0008390,testosterone 16-alpha-hydroxylase activity,1.0,False,1,313,1,
GO:MF,GO:0008391,arachidonate monooxygenase activity,1.0,False,4,313,4,
GO:MF,GO:0008392,arachidonate epoxygenase activity,1.0,False,4,313,4,
GO:MF,GO:0008395,steroid hydroxylase activity,1.0,False,6,313,6,
GO:MF,GO:0008401,retinoic acid 4-hydroxylase activity,1.0,False,2,313,2,
GO:MF,GO:0008404,"arachidonate 14,15-epoxygenase activity",1.0,False,1,313,1,
GO:MF,GO:0008405,"arachidonate 11,12-epoxygenase activity",1.0,False,1,313,1,
GO:MF,GO:0008422,beta-glucosidase activity,1.0,False,1,313,1,
GO:MF,GO:0008432,JUN kinase binding,1.0,False,1,313,1,
GO:MF,GO:0008504,monoamine transmembrane transporter activity,1.0,False,3,313,3,
GO:MF,GO:0008509,monoatomic anion transmembrane transporter activity,1.0,False,5,313,3,
GO:MF,GO:0008514,organic anion transmembrane transporter activity,1.0,False,6,313,4,
GO:MF,GO:0008525,phosphatidylcholine transporter activity,1.0,False,1,313,1,
GO:MF,GO:0008528,G protein-coupled peptide receptor activity,1.0,False,16,313,12,
GO:MF,GO:0008559,ABC-type xenobiotic transporter activity,1.0,False,4,313,4,
GO:MF,GO:0008656,cysteine-type endopeptidase activator activity involved in apoptotic process,1.0,False,1,313,1,
GO:MF,GO:0008798,beta-aspartyl-peptidase activity,1.0,False,1,313,1,
GO:MF,GO:0009055,electron transfer activity,1.0,False,3,313,3,
GO:MF,GO:0009931,calcium-dependent protein serine/threonine kinase activity,1.0,False,7,313,3,
GO:MF,GO:0010465,nerve growth factor receptor activity,1.0,False,1,313,1,
GO:MF,GO:0010484,histone H3 acetyltransferase activity,1.0,False,1,313,1,
GO:MF,GO:0015026,coreceptor activity,1.0,False,3,313,2,
GO:MF,GO:0015052,beta3-adrenergic receptor activity,1.0,False,1,313,1,
GO:MF,GO:0015054,gastrin receptor activity,1.0,False,1,313,1,
GO:MF,GO:0015081,sodium ion transmembrane transporter activity,1.0,False,6,313,5,
GO:MF,GO:0015085,calcium ion transmembrane transporter activity,1.0,False,5,313,2,
