Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
NCIH2227,ACH-000610,PT-mtt5MQ,NCI-H2227,NCIH2227,54.0,Commercial,SIDM00730,CVCL_1542,SCLC,Adult,Mixed,,Primary,lung,Male,ATCC,,,NCIH2227_LUNG,688018.0,,1220.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH2227,NCIH2227
NCIH2228,ACH-000447,PT-QmAMEj,NCI-H2228,NCIH2228,,Commercial,SIDM00729,CVCL_1543,LUAD,Unknown,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-5935,NCIH2228_LUNG,687816.0,,1812.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2228,NCIH2228
NCIH2291,ACH-000718,PT-8wDCNH,NCI-H2291,NCIH2291,,Commercial,SIDM00728,CVCL_1546,LUAD,Unknown,Adherent,,Metastatic,lymph_node,Male,ATCC,NSCLC_adenocarcinoma,CRL-5939,NCIH2291_LUNG,724874.0,,917.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2291,NCIH2291
NCIH23,ACH-000900,PT-rWMXJp,NCI-H23,NCIH23,51.0,Commercial,SIDM00138,CVCL_1547,LUAD,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CRL-5800,NCIH23_LUNG,905942.0,,2108.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH23,NCIH23
NCIH2342,ACH-000951,PT-Q9lcwL,NCI-H2342,NCIH2342,55.0,Commercial,SIDM00727,CVCL_1549,LUAD,Adult,Mixed,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CRL-5941,NCIH2342_LUNG,687819.0,,1814.0,,,MF-007-010,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2342,NCIH2342
NCIH2347,ACH-000875,PT-SrAh0r,NCI-H2347,NCIH2347,54.0,Commercial,SIDM00726,CVCL_1550,LUAD,Adult,Mixed,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-5942,NCIH2347_LUNG,687820.0,,337.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2347,NCIH2347
NCIH2405,ACH-000121,PT-5S5Gmg,NCI-H2405,NCIH2405,47.0,Commercial,SIDM00724,CVCL_1551,LUAD,Adult,Mixed,,Metastatic,ascites,Male,ATCC,NSCLC_adenocarcinoma,CRL-5944,NCIH2405_LUNG,687821.0,,82.0,,,MF-001-014,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH2405,NCIH2405
NCIH2444,ACH-000186,PT-w40Tnr,NCI-H2444,NCIH2444,,Commercial,SIDM00723,CVCL_1552,NSCLC,Unknown,Adherent,,Primary,lung,Male,ATCC,,CRL-5945,NCIH2444_LUNG,1298356.0,,1538.0,,,MF-001-001,,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung,NCIH2444,NCIH2444
NCIH292,ACH-001075,PT-nKyqod,NCI-H292,NCIH292,32.0,Commercial,SIDM00493,CVCL_0455,LUMEC,Adult,Adherent,,Metastatic,lymph_node,Female,ATCC,NSCLC_mucoepidermoid,CRL-1848,NCIH292_LUNG,753604.0,,935.0,,,MF-001-001,,LUMEC,Mucoepidermoid Carcinoma of the Lung,Non-Small Cell Lung Cancer,Lung,NCIH292,NCIH292
NCIH358,ACH-000860,PT-W8OaFq,NCI-H358,NCIH358,,Commercial,SIDM00718,CVCL_1559,LUAD,Unknown,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CRL-5807,NCIH358_LUNG,908465.0,,1691.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH358,NCIH358
NCIH441,ACH-000638,PT-xglezn,NCI-H441,NCIH441,33.0,Commercial,SIDM00925,CVCL_1561,LUAD,Adult,Adherent,,Metastatic,pericardial_effusion,Male,ATCC,NSCLC_adenocarcinoma,HTB-174,NCIH441_LUNG,908460.0,,1815.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH441,NCIH441
NCIH446,ACH-000800,PT-RmrNlb,NCI-H446,NCIH446,61.0,Commercial,SIDM00965,CVCL_1562,SCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,,HTB-171,NCIH446_LUNG,688023.0,,1222.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH446,NCIH446
NCIH460,ACH-000463,PT-gfHIRD,NCI-H460,NCIH460,,Commercial,SIDM00144,CVCL_0459,LCLC,Unknown,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_large_cell,HTB-177,NCIH460_LUNG,905943.0,,2146.0,,,MF-001-001,,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung,NCIH460,NCIH460
NCIH522,ACH-000343,PT-6ukZx4,NCI-H522,NCIH522,58.0,Commercial,SIDM00116,CVCL_1567,LUAD,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenocarcinoma,CRL-5810,NCIH522_LUNG,905944.0,,1224.0,,,MF-001-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH522,NCIH522
NCIH524,ACH-000816,PT-veV7dF,NCI-H524,NCIH524,63.0,Commercial,SIDM01129,CVCL_1568,SCLC,Adult,Suspension,,Metastatic,lymph_node,Male,ATCC,,CRL-5831,NCIH524_LUNG,908483.0,,2147.0,,,,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH524,NCIH524
NCIH526,ACH-000767,PT-1nXRn7,NCI-H526,NCIH526,55.0,Commercial,SIDM01128,CVCL_1569,SCLC,Adult,Suspension,,Metastatic,bone_marrow,Male,ATCC,,,NCIH526_LUNG,688025.0,,1380.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,NCIH526,NCIH526
NCIH596,ACH-000628,PT-QC2SAk,NCI-H596,NCIH596,73.0,Commercial,SIDM01127,CVCL_1571,LUAS,Adult,Adherent,,Primary,lung,Male,ATCC,NSCLC_adenosquamous,HTB-178,NCIH596_LUNG,908459.0,,1225.0,,,,,LUAS,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung,NCIH596,NCIH596
NCIH647,ACH-000378,PT-svCGFs,NCI-H647,NCIH647,56.0,Commercial,SIDM01125,CVCL_1574,LUAS,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenosquamous,CRL-5834,NCIH647_LUNG,1240191.0,,955.0,,,MF-001-001,,LUAS,Lung Adenosquamous Carcinoma,Non-Small Cell Lung Cancer,Lung,NCIH647,NCIH647
NCIH650,ACH-000945,PT-0uFhp8,NCI-H650,NCIH650,,Commercial,SIDM01124,CVCL_1575,LUAD,Unknown,Suspension,,Metastatic,lung,Male,ATCC,NSCLC_adenocarcinoma,CRL-5835,NCIH650_LUNG,722066.0,,1539.0,,,MF-001-014,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,NCIH650,NCIH650
