Unnamed: 0,ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage,StrippedName,CCLENameStripped
SKMES1,ACH-000665,PT-41lHFE,SK-MES-1,SKMES1,65.0,Commercial,SIDM01103,CVCL_0630,LUSC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_squamous,HTB-58,SKMES1_LUNG,909728.0,,1628.0,,,MF-002-001,,LUSC,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung,SKMES1,SKMES1
SKMM2,ACH-000363,PT-35DpVF,SK-MM-2,SKMM2,54.0,Commercial,SIDM00391,CVCL_1699,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,ACC 430,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,753612.0,,1003.0,,,MF-001-001,,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid,SKMM2,SKMM2
ST486,ACH-000567,PT-PA3Bay,ST486,ST486,,Commercial,SIDM01198,CVCL_1712,BL,Unknown,Suspension,,Metastatic,ascites,Female,ATCC,b_cell_burkitt,CRL-1647,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,910906.0,,130.0,,Unknown,MF-001-001,,BL,Burkitt Lymphoma,Non-Hodgkin Lymphoma,Lymphoid,ST486,ST486
SUDHL1,ACH-000664,PT-jm7IYN,SU-DHL-1,SUDHL1,10.0,Commercial,SIDM00390,CVCL_0538,ALCLALKP,Pediatric,Suspension,,,pleural_effusion,Male,DSMZ,t_cell_ALCL,CRL-2955,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909742.0,,1634.0,,,MF-001-001,,ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Non-Hodgkin Lymphoma,Lymphoid,SUDHL1,SUDHL1
SUDHL10,ACH-000271,PT-i02i7U,SU-DHL-10,SUDHL10,25.0,Commercial,SIDM00389,CVCL_1889,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,CRL-2963,SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331033.0,,269.0,,,MF-001-020,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,SUDHL10,SUDHL10
SUDHL4,ACH-000365,PT-I24dRR,SU-DHL-4,SUDHL4,38.0,Commercial,SIDM00405,CVCL_0539,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,CRL-2957,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331035.0,,1450.0,,,MF-001-020,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,SUDHL4,SUDHL4
SUDHL5,ACH-000660,PT-PDsx7s,SU-DHL-5,SUDHL5,17.0,Commercial,SIDM00406,CVCL_1735,DLBCLNOS,Pediatric,Suspension,,Primary,lymph_node,Female,DSMZ,DLBCL,,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331036.0,,1609.0,,,MF-001-020,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,SUDHL5,SUDHL5
SUDHL6,ACH-000611,PT-zkZBHL,SU-DHL-6,SUDHL6,43.0,Commercial,SIDM00407,CVCL_2206,DLBCLNOS,Adult,Suspension,,Metastatic,ascites,Male,DSMZ,DLBCL,CRL-2959,SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331037.0,,2036.0,,,MF-001-020,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,SUDHL6,SUDHL6
SUDHL8,ACH-000656,PT-qpbJK2,SU-DHL-8,SUDHL8,59.0,Commercial,SIDM00423,CVCL_2207,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,ACC 573,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331038.0,,1877.0,,,,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,SUDHL8,SUDHL8
SUPB15,ACH-000059,PT-rikOUx,SUP-B15,SUPB15,9.0,Commercial,SIDM01176,CVCL_0103,BLLBCRABL1,Pediatric,Suspension,,Primary,bone_marrow,Male,ATCC,b_cell,CRL-1929,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1247871.0,,786.0,,,MF-005-008,,BLLBCRABL1,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,SUPB15,SUPB15
SUPM2,ACH-000226,PT-ktST3K,SUP-M2,SUPM2,5.0,Commercial,SIDM00421,CVCL_2209,ALCLALKP,Pediatric,Suspension,,,central_nervous_system,Female,DSMZ,t_cell_ALCL,,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331040.0,,1878.0,,,MF-001-020,,ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Non-Hodgkin Lymphoma,Lymphoid,SUPM2,SUPM2
SUPT1,ACH-000953,PT-Zkuf8L,SUP-T1,SUPT1,8.0,Commercial,SIDM01154,CVCL_1714,TLL,Pediatric,Suspension,,Metastatic,pleural_effusion,Male,ATCC,t_cell,CRL-1942,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909743.0,,1452.0,,,MF-001-001,,TLL,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,SUPT1,SUPT1
SW1271,ACH-000890,PT-Np75OL,SW 1271,SW1271,69.0,Commercial,SIDM01156,CVCL_1716,SCLC,Adult,Adherent,,Primary,lung,Male,ATCC,,CRL-2177,SW1271_LUNG,1299062.0,,2037.0,,,MF-001-001,,SCLC,Small Cell Lung Cancer,Lung Neuroendocrine Tumor,Lung,SW1271,SW1271
SW1573,ACH-000677,PT-Z9x3iF,SW 1573,SW1573,44.0,Commercial,SIDM01163,CVCL_1720,LUAD,Adult,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-2170,SW1573_LUNG,724878.0,,849.0,,,MF-021-001,,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung,SW1573,SW1573
THP1,ACH-000146,PT-Sv45MF,THP-1,THP1,1.0,Commercial,SIDM01172,CVCL_0006,AML,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,M5,TIB-202,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909771.0,,770.0,,,MF-001-006,,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid,THP1,THP1
WSUDLCL2,ACH-000534,PT-kwERT7,WSU-DLCL2,WSUDLCL2,41.0,Commercial,SIDM00413,CVCL_1902,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,ACC 575,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1331050.0,,557.0,,,MF-001-001,,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid,WSUDLCL2,WSUDLCL2
