drug,fold,blend,meta,alpha,intercept,n_train,n_test,w_mrna,w_cnv,w_meth,w_mirna
PALBOCICLIB,4,stacking,ridge,1.0,-0.3353884015870183,163,40,0.9410762843171364,0.18116715161554556,-0.14647834479347518,0.17389066142731582
PALBOCICLIB,5,stacking,ridge,1.0,-0.020067083943433595,163,40,1.0888645696658195,0.13432813221941164,-0.41064386019204274,0.19574497894114481
PD0325901,1,stacking,ridge,1.0,0.12208172768398518,162,41,0.9855891178585701,-0.07992221039735278,0.032280266768527285,-0.06952602218930305
PD0325901,2,stacking,ridge,1.0,-0.061824255105016546,162,41,1.0525264051932437,-0.12576689160587565,0.13630498668333352,-0.07962800442037088
PD0325901,3,stacking,ridge,1.0,0.11195090972098132,162,41,0.8974680360988609,-0.05968296093280263,0.12979186903645,-0.04387535367650029
PD0325901,4,stacking,ridge,1.0,0.07450776286858307,163,40,0.8272867965903546,-0.17573804703066667,0.1738175975644859,0.05785798962692836
PD0325901,5,stacking,ridge,1.0,-0.06147441889247873,163,40,0.9389163438917313,-0.1784306489329996,0.022105934487666783,0.4009057362708282
PLX-4720,1,stacking,ridge,1.0,-0.6847633801947253,162,41,0.6461184320552917,0.34329118681880627,-0.13037415545488987,0.3134194927814244
PLX-4720,2,stacking,ridge,1.0,-0.1583597499884588,162,41,0.724215129419302,0.30057527996585576,-0.2458503379970388,0.2678428033436728
PLX-4720,3,stacking,ridge,1.0,-0.7789690994953791,162,41,0.6106175668303675,0.399265506039387,-0.03880298429744797,0.22056175771249875
PLX-4720,4,stacking,ridge,1.0,-0.7875806165113848,163,40,0.6195282594045758,0.39224359908575546,-0.21572740388310374,0.40480808005070784
PLX-4720,5,stacking,ridge,1.0,-0.8569487841509624,163,40,0.7255574183951421,0.31435824774351395,-0.11588507936439002,0.29606577501725795
REFAMETINIB,1,stacking,ridge,1.0,-0.38190211148371356,162,41,0.4118786025080601,-0.19433333420328666,0.46691453166383046,0.4589135357119802
REFAMETINIB,2,stacking,ridge,1.0,-0.5722657775894984,162,41,0.3351949813786498,0.04503131684618832,0.47291450517461087,0.4060280032667667
REFAMETINIB,3,stacking,ridge,1.0,-0.39663803666449793,162,41,0.2229027768427656,0.09156005596523699,0.528297295517773,0.34743013011502044
REFAMETINIB,4,stacking,ridge,1.0,-0.24101424206938615,163,40,0.335031540392459,0.015497037156629562,0.4724116636824923,0.3053737322399687
REFAMETINIB,5,stacking,ridge,1.0,-0.33071043489513574,163,40,0.3064059682248192,-0.07441013043601022,0.48425502522266967,0.4556476375602119
SELUMETINIB,1,stacking,ridge,1.0,-0.15817892363273378,162,41,0.7425945943927494,0.17791948519266473,0.1719030169739507,-0.02072475106697139
SELUMETINIB,2,stacking,ridge,1.0,0.017495058549038323,162,41,0.6852748743158639,0.09394162373713286,0.19874390570032327,0.0249234252885643
SELUMETINIB,3,stacking,ridge,1.0,-0.843832094648163,162,41,0.8388860490862043,0.20509689210884993,0.1779448138540103,0.06581847226950889
SELUMETINIB,4,stacking,ridge,1.0,-0.6436677469344669,163,40,0.7329618664908041,0.00925212799501626,0.4753811102041696,-0.013238463834343496
SELUMETINIB,5,stacking,ridge,1.0,-0.12506762283836714,163,40,0.7725533789062403,0.20138043040394724,0.1366892840949283,-0.045016000958432695
SN-38,1,stacking,ridge,1.0,-0.24544763593051266,162,41,0.9715166936880911,0.019501987976081683,0.13832369255132435,-0.19544125373942733
SN-38,2,stacking,ridge,1.0,0.19221224330312392,162,41,0.9187107124438628,-0.019942535588863736,0.22476012794556968,-0.09729583592237162
SN-38,3,stacking,ridge,1.0,-0.45422388676326,162,41,1.0900401756910607,0.19209127993575487,0.08033886600360367,-0.44930675159226113
SN-38,4,stacking,ridge,1.0,0.3179217812638955,163,40,0.9552012190040557,0.21078139674574597,0.1137177859171112,-0.2032015303193656
SN-38,5,stacking,ridge,1.0,-0.01544167806975949,163,40,0.9246488313503735,0.26804525511430133,-0.0003815561431002224,-0.19893591909525382
TALAZOPARIB,1,stacking,ridge,1.0,0.8561371357237373,162,41,0.8515216149692154,-0.2061101742790842,0.29984507877251454,-0.43211657548052
TALAZOPARIB,2,stacking,ridge,1.0,1.0820395877533926,162,41,0.803170885005759,-0.2883454104171031,0.29505491888193136,-0.5030834387746049
TALAZOPARIB,3,stacking,ridge,1.0,1.5354054583481778,162,41,0.9636742717589051,-0.48154892121601794,0.382327724626138,-0.8825880446694517
TALAZOPARIB,4,stacking,ridge,1.0,1.0549106844350686,163,40,0.7604366997754091,-0.28511992433571104,0.4267265326827166,-0.5883698183791215
TALAZOPARIB,5,stacking,ridge,1.0,1.1287190715826103,163,40,0.8249612519608805,-0.4302477757323245,0.4131749725872801,-0.5716514051696411
TEMOZOLOMIDE,1,stacking,ridge,1.0,-0.2201618796496927,162,41,0.7714231714872137,0.03814654953564449,0.3057415542985526,-0.07130358755839679
TEMOZOLOMIDE,2,stacking,ridge,1.0,0.3557881861077101,162,41,0.8395692418156143,0.10160875781682441,0.26927226924044473,-0.27526910951219685
TEMOZOLOMIDE,3,stacking,ridge,1.0,-0.1200203112736089,162,41,0.7577396032863232,0.15422822743603695,0.37858254953073,-0.27780456789380714
TEMOZOLOMIDE,4,stacking,ridge,1.0,-0.3716169253112769,163,40,0.8240499346942743,0.025568739646814248,0.3975135601872989,-0.17013312161690836
TEMOZOLOMIDE,5,stacking,ridge,1.0,-0.4453087259093431,163,40,0.9412945209325069,0.3487480170172598,0.20746929146134613,-0.41607421234979713
