drug,fold,blend,RMSE_ens,R2_ens,Spearman_ens,Pearson_ens,RMSE_mean,R2_mean
REFAMETINIB,3,stacking,1.1103602180258878,0.6067078401632569,0.7663763066202093,0.7881188190497151,1.2510083016762008,0.5007617118784609
REFAMETINIB,4,stacking,1.3446424515419555,0.4765158339415587,0.6958724202626643,0.7350578915130955,1.4539673075682071,0.38793267327545145
REFAMETINIB,5,stacking,1.1800118818589698,0.536009339638078,0.7651031894934335,0.7443186563268693,1.1990673814000252,0.5209027744908012
SELUMETINIB,1,stacking,1.2439832798504848,0.3050167820385832,0.5531358885017422,0.5899983481590794,1.2988902507644684,0.2423124598090337
SELUMETINIB,2,stacking,1.0937384948234254,0.4490286049637221,0.7500000000000001,0.7184335365146873,1.179265652501104,0.3594908245628311
SELUMETINIB,3,stacking,1.2822756531462918,0.02926788403270142,0.3573170731707318,0.39301413528055246,1.236022230176248,0.0980360725110947
SELUMETINIB,4,stacking,1.2585260889188146,0.06626497904137929,0.45440900562851794,0.5395002846068324,1.094277585603537,0.2940820757368643
SELUMETINIB,5,stacking,1.2945021100083787,0.35601583866023556,0.5142589118198876,0.6395656471360119,1.3366033454078765,0.3134459263455466
SN-38,1,stacking,1.6237241516371392,0.32164027852166777,0.5876306620209061,0.5731678005861202,1.6567064205108453,0.29380170802611294
SN-38,2,stacking,1.6535669797678936,0.2619917681925912,0.5121951219512196,0.548564680833837,1.6687489778887026,0.24837771356065463
SN-38,3,stacking,1.4570172973638742,0.3830131330739196,0.6601045296167249,0.6737326896446862,1.4330303711289982,0.4031608625150046
SN-38,4,stacking,1.568140912276835,0.24315260291477347,0.47861163227016895,0.5143317976175996,1.6031163373145647,0.20901503127685728
SN-38,5,stacking,1.3555294549553416,0.4065868446878391,0.6941838649155723,0.6417502893371054,1.4442917815248408,0.3263270152815373
TALAZOPARIB,1,stacking,1.8784255260473142,0.03577153342044692,0.26498257839721256,0.33670128009201866,1.9346278145334153,-0.022790866603882298
TALAZOPARIB,2,stacking,1.5118295339345906,0.19452415828740865,0.41968641114982586,0.45964168884489437,1.6462781870963903,0.04489016553981506
TALAZOPARIB,3,stacking,1.7883466873609375,-0.012459459997419708,0.21759581881533105,0.23658259425521272,1.7152522590383625,0.06861291099500033
TALAZOPARIB,4,stacking,1.5323142771381848,0.1817109803473418,0.35947467166979363,0.42937168789233193,1.6181554987002789,0.0874607903929483
TALAZOPARIB,5,stacking,1.8902249433335323,0.07982001507419667,0.34765478424015017,0.30998360609518855,1.9377384699938316,0.032978509241035625
TEMOZOLOMIDE,1,stacking,0.7681481257333801,0.39001482526611575,0.6890243902439025,0.6339714931918905,0.7855978469137098,0.3619864555584512
TEMOZOLOMIDE,2,stacking,0.6988405721584194,0.5745341405247345,0.8109756097560976,0.7923076157764041,0.7184878501518679,0.5502746664178251
TEMOZOLOMIDE,3,stacking,0.6877629429552141,0.5388182157873156,0.8214285714285716,0.7960577574291411,0.7216029716919701,0.49231862959133377
TEMOZOLOMIDE,4,stacking,0.9467083163543597,0.279592338319376,0.6412757973733584,0.5899617845987568,0.9214470504884212,0.31752506311139017
TEMOZOLOMIDE,5,stacking,0.7653331181515869,0.3286748338458,0.6602251407129457,0.6149258526683099,0.7146639405398306,0.41462300144052344
