feature,raw_token,n_drugs_supporting_token,n_rows,sources,fields,example_token
rawtok_NEU2,NEU2,1,1,drug_sample,PUTATIVE_TARGET,NEU2
rawtok_NEURONAL_ACETYLCHOLINE_RECEPTOR_SUBUNIT_ALPHA_4,NEURONAL ACETYLCHOLINE RECEPTOR SUBUNIT ALPHA-4,1,1,targets,single_protein_pref_name,Neuronal acetylcholine receptor subunit alpha-4
rawtok_NEUROPEPTIDE_Y_RECEPTOR_TYPE_1,NEUROPEPTIDE Y RECEPTOR TYPE 1,1,1,targets,single_protein_pref_name,Neuropeptide Y receptor type 1
rawtok_NEUROTROPHIC_TYROSINE_KINASE_RECEPTOR_TYPE_2_INHIBITOR,NEUROTROPHIC TYROSINE KINASE RECEPTOR TYPE 2 INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,Neurotrophic tyrosine kinase receptor type 2 inhibitor
rawtok_NFKB1,NFKB1,1,1,drug_sample,PUTATIVE_TARGET,NFKB1
rawtok_NGF,NGF,1,1,drug_sample,PUTATIVE_TARGET,NGF
rawtok_NIK,NIK,1,1,drug_sample,PUTATIVE_TARGET,NIK
rawtok_NNMT,NNMT,1,1,drug_sample,PUTATIVE_TARGET,NNMT
rawtok_NOS1,NOS1,1,1,drug_sample,PUTATIVE_TARGET,NOS1
rawtok_NPEPPS,NPEPPS,1,1,drug_sample,PUTATIVE_TARGET,NPEPPS
rawtok_NPPB,NPPB,1,1,drug_sample,PUTATIVE_TARGET,NPPB
rawtok_NQO1,NQO1,1,1,drug_sample,PUTATIVE_TARGET,NQO1
rawtok_NR1H2,NR1H2,1,1,drug_sample,PUTATIVE_TARGET,NR1H2
rawtok_NR1H3,NR1H3,1,1,drug_sample,PUTATIVE_TARGET,NR1H3
rawtok_NR5A1,NR5A1,1,1,drug_sample,PUTATIVE_TARGET,NR5A1
rawtok_NRAS,NRAS,1,1,drug_sample,PUTATIVE_TARGET,NRAS
rawtok_NT_3_GROWTH_FACTOR_RECEPTOR_INHIBITOR,NT-3 GROWTH FACTOR RECEPTOR INHIBITOR,1,2,drug_feature_summary | mechanisms,mechanism_of_action | mechanism_of_action_list,NT-3 growth factor receptor inhibitor
rawtok_NT5C2,NT5C2,1,1,drug_sample,PUTATIVE_TARGET,NT5C2
rawtok_NUAK1,NUAK1,1,1,drug_sample,PUTATIVE_TARGET,NUAK1
rawtok_NUAK2,NUAK2,1,1,drug_sample,PUTATIVE_TARGET,NUAK2
rawtok_NUCLEAR_RECEPTOR_COACTIVATOR_3,NUCLEAR RECEPTOR COACTIVATOR 3,1,1,targets,single_protein_pref_name,Nuclear receptor coactivator 3
rawtok_NUCLEAR_RECEPTOR_SUBFAMILY_0_GROUP_B_MEMBER_1,NUCLEAR RECEPTOR SUBFAMILY 0 GROUP B MEMBER 1,1,1,targets,single_protein_pref_name,Nuclear receptor subfamily 0 group B member 1
rawtok_NUDT1,NUDT1,1,1,drug_sample,PUTATIVE_TARGET,NUDT1
rawtok_OAT,OAT,1,1,drug_sample,PUTATIVE_TARGET,OAT
rawtok_OAZ1,OAZ1,1,1,drug_sample,PUTATIVE_TARGET,OAZ1
rawtok_OAZ2,OAZ2,1,1,drug_sample,PUTATIVE_TARGET,OAZ2
rawtok_OAZ3,OAZ3,1,1,drug_sample,PUTATIVE_TARGET,OAZ3
rawtok_ODC1,ODC1,1,1,drug_sample,PUTATIVE_TARGET,ODC1
rawtok_OTC,OTC,1,1,drug_sample,PUTATIVE_TARGET,OTC
rawtok_OXCT1,OXCT1,1,1,drug_sample,PUTATIVE_TARGET,OXCT1
rawtok_P2RX7,P2RX7,1,1,drug_sample,PUTATIVE_TARGET,P2RX7
rawtok_P2RY11,P2RY11,1,1,drug_sample,PUTATIVE_TARGET,P2RY11
rawtok_P38ALPHA,P38ALPHA,1,1,drug_sample,PUTATIVE_TARGET,p38alpha
rawtok_P38BETA,P38BETA,1,1,drug_sample,PUTATIVE_TARGET,p38beta
rawtok_P53_MUT_SPECIFIC,P53 MUT SPECIFIC,1,1,drug_sample,PUTATIVE_TARGET,P53 Mut specific
rawtok_PAK2,PAK2,1,1,drug_sample,PUTATIVE_TARGET,PAK2
rawtok_PAK4,PAK4,1,1,drug_sample,PUTATIVE_TARGET,PAK4
rawtok_PANX1,PANX1,1,1,drug_sample,PUTATIVE_TARGET,PANX1
rawtok_PANX2,PANX2,1,1,drug_sample,PUTATIVE_TARGET,PANX2
rawtok_PANX3,PANX3,1,1,drug_sample,PUTATIVE_TARGET,PANX3
rawtok_PARP15,PARP15,1,1,drug_sample,PUTATIVE_TARGET,PARP15
rawtok_PARP3,PARP3,1,1,drug_sample,PUTATIVE_TARGET,PARP3
rawtok_PARP5A,PARP5A,1,1,drug_sample,PUTATIVE_TARGET,PARP5a
rawtok_PARP5B,PARP5B),1,1,drug_sample,PUTATIVE_TARGET,PARP5b)
rawtok_PARP6,PARP6,1,1,drug_sample,PUTATIVE_TARGET,PARP6
rawtok_PARP7,PARP7,1,1,drug_sample,PUTATIVE_TARGET,PARP7
rawtok_PASK,PASK,1,1,drug_sample,PUTATIVE_TARGET,PASK
rawtok_PB1,PB1,1,1,drug_sample,PUTATIVE_TARGET,PB1
rawtok_PDE10A,PDE10A,1,1,drug_sample,PUTATIVE_TARGET,PDE10A
rawtok_PDE3B,PDE3B,1,1,drug_sample,PUTATIVE_TARGET,PDE3B
rawtok_PDE4B,PDE4B,1,1,drug_sample,PUTATIVE_TARGET,PDE4B
rawtok_PDE4D,PDE4D,1,1,drug_sample,PUTATIVE_TARGET,PDE4D
rawtok_PDGFD,PDGFD,1,1,drug_sample,PUTATIVE_TARGET,PDGFD
