feature,pvalue,fdr_bh,abs_cohen_d,single_feature_auc_abs,cohen_d_improve_minus_worsen,effect_direction,threshold
first_approval,1.0,1.0,0.18764665626020377,0.5,0.18764665626020377,higher_in_improve,0.02
act_pchembl_mean,0.26348651348651353,0.7904595404595406,0.18358198979842172,0.6833333333333333,0.18358198979842172,higher_in_improve,0.02
curve_RMSE_mean,0.9298014077425841,1.0,0.14414329842033297,0.5194805194805194,0.14414329842033297,higher_in_improve,0.02
alogp_xlogp,0.9298014077425841,1.0,0.13325547160384035,0.5194805194805194,0.13325547160384035,higher_in_improve,0.02
heavy_atoms,0.8917732103610226,1.0,0.12409358030047664,0.525974025974026,0.12409358030047664,higher_in_improve,0.02
psa_tpsa,0.6589994972347913,1.0,0.10095029631056371,0.5714285714285714,-0.10095029631056371,higher_in_worsen,0.02
oral,0.8885899770089383,1.0,0.09869275424396538,0.5194805194805195,-0.09869275424396538,higher_in_worsen,0.02
hbd,0.71020036137429,1.0,0.06456155482451847,0.5584415584415584,0.06456155482451847,higher_in_improve,0.02
median_pchembl,0.6353646353646354,1.0,0.048982423119765264,0.5833333333333333,0.048982423119765264,higher_in_improve,0.02
act_pchembl_median,0.6353646353646354,1.0,0.048982423119765264,0.5833333333333333,0.048982423119765264,higher_in_improve,0.02
max_phase,0.6858304344516057,1.0,0.042807250939347646,0.6,-0.042807250939347646,higher_in_worsen,0.02
full_mwt,0.9298014077425841,1.0,0.028400815223465346,0.5194805194805194,0.028400815223465346,higher_in_improve,0.02
aromatic_rings,0.9244996251000666,1.0,0.02562286990597809,0.5194805194805194,0.02562286990597809,higher_in_improve,0.02
mech_direct_interaction_mean,1.0,1.0,,0.5,,neutral_or_missing,0.02
mech_disease_efficacy_mean,1.0,1.0,,0.5,,neutral_or_missing,0.02
mech_molecular_mechanism_mean,1.0,1.0,,0.5,,neutral_or_missing,0.02
